"Probe Name","liver conv 1","liver conv 2","liver conv 3","liver conv 4","liver cef 1","liver cef 2","liver cef 3","liver cef 4","liver cdi 1","liver cdi 2","liver cdi 3","liver cdi 4","ileum conv 1","ileum conv 2","ileum conv 3","ileum conv 4","ileum cef 1","ileum cef 2","ileum cef 3","ileum cef 4","ileum cdi 1","ileum cdi 2","ileum cdi 3","ileum cdi 4","cecum conv 1","cecum conv 2","cecum conv 3","cecum conv 4","cecum cef 1","cecum cef 2","cecum cef 3","cecum cef 4","cecum cdi 1","cecum cdi 2","cecum cdi 3","cecum cdi 4"
"Psmd13",2042.57,1973.8,1943.83,1917.34,2033.06,2056.42,2118.61,2068.58,2087.63,1904.48,1977.68,2085.69,1998.88,1783.78,1802.93,1884.17,2105.32,1638.14,1470.88,1920.66,1637.96,1790.93,1593.24,1620,1405.73,1757.66,1747.23,1618.43,1653.69,1522.69,1546.32,1623.03,1698.74,1710.52,1536.2,1733.11
"Ptafr",109.66,117.43,70.4,109.96,135.92,105.25,117.35,114.61,115.83,113.48,129.47,88.66,71.67,74.4,80.81,46.57,41.44,57.41,60.84,104.26,46.67,60.32,48.73,37.59,138.2,70.38,104.49,82.45,48.56,74.43,64.82,98.69,43.83,53.91,55.41,40.71
"Ptch1",117.63,109.4,139.57,160.31,124.81,165.51,145.4,148.3,160.59,152.47,2.39,2.42,153.27,196.98,172.53,203.66,124.35,233.99,176.4,148.72,182.49,204.31,172.66,187.15,215.73,225.01,340.96,253.32,126.24,168.76,307.02,275.82,142.69,200.75,148.98,138.54
"Ptger4",22.08,43.17,43.5,50.61,35.95,26.29,48.15,45.36,77.78,56.15,36.34,20.97,272.15,215.71,185.75,192.7,221.89,133.45,206.5,225.43,129.78,189.73,198.56,252,97.46,147.7,108.96,139.4,245.14,111.76,136.12,153.85,88.72,76.46,93.79,99.29
"Ptgs2",1.99,2.01,1.92,1.8,2.22,2.08,1.87,1.87,2.24,2.29,2.39,2.42,30.36,84.61,61.8,49.31,36.57,104.72,127.84,62.02,51.74,107.71,58.9,76.29,76.43,203.12,100.9,46.97,73.13,42.53,99.66,87.65,74.29,123.14,168.95,121.55
"Ptk2",467.98,366.28,379.76,426.47,418.04,421.1,405.38,415.94,451.55,402.43,564.06,504.51,584.45,629.44,601.41,640.23,551.56,734.99,719.24,720.1,650.75,705.54,678.56,760.29,654.67,970.12,717.16,878.92,615.31,732.05,811.56,853.81,789.26,723.59,726.16,787.03
"Ptk2b",475.94,516.8,483.52,386.91,431.37,508.37,358.62,391.61,382.17,507.92,587.94,342.52,469.6,479.61,450.19,380.85,446.22,380.15,560.95,644.51,489.6,417.56,550.93,612.82,843.92,423.44,514.72,511.96,379.89,533.88,397.91,666.25,494.29,266.3,453.34,392.78
"Ptpa",971.61,924.19,856.28,734,820.13,734.87,844.91,711.66,771.61,906.93,867.32,676.17,1707.73,1579.48,1545.93,1462.22,1644.95,1651.66,2495.39,2214.14,1748.44,1524.82,1582.14,1895.06,1238.17,1145.97,1568.09,1275.75,1172.55,1105.32,1147.92,1319.63,1045.22,1084.38,1096.75,1062.36
"Ptpn1",452.05,362.27,420.11,392.31,411.38,377.46,409.12,387.87,364.26,583.59,461.38,676.17,424.27,477.06,465.06,441.12,521.32,492.51,390.04,431.08,420.67,387.49,494.51,380.64,974.02,487.75,591.76,567.99,424.28,588.18,489.35,517.93,441.93,450.37,535.87,472.45
"Ptpn11",929.81,874.02,858.2,840.1,906.77,919.8,824.34,846.41,1044.66,978.02,953.29,891.34,755.71,789.48,741.89,827.46,830.52,909.03,887.24,843.49,797.72,832.21,833.01,945.41,883.34,1085.07,1086.19,913.47,815.06,775.49,891.02,925.52,663.69,675.86,666.23,642.92
"Ptpn12",710.84,562.95,589.2,622.5,657.96,689.15,663.49,717.27,1026.75,881.71,709.72,649.57,494.79,616.67,550.17,665.8,455,447.73,540.56,584.48,526.08,608.03,591.62,625.37,564.65,619.12,450.23,546.51,593.12,520.99,560.11,570.02,732.09,593.01,751.91,615.39
"Ptpn6",352.52,382.33,362.46,424.68,349.18,410.71,360.49,339.21,357.55,446,387.36,381.21,440.39,396.18,529.52,306.87,371.12,252.57,260.88,358.82,417.63,304.56,488.04,299.06,1789.47,331.75,495.02,525.97,249.1,723.91,289.61,478.09,227.11,240.08,503.28,398.06
"Ptprc",93.74,47.18,70.4,88.38,75.94,53.31,78.07,80.92,71.07,88.26,100.81,74.16,160.32,374.05,689.83,316.91,138.98,222.16,254.08,296.57,409.53,208.87,432.54,203.89,2439.34,195.59,410.82,581.99,116.73,886.11,206.33,574.93,145.36,171.38,522.72,351.78
"Pygm",16.1,11.06,31.97,18.24,11.51,5.51,16.35,24.77,12.88,14.88,19.62,20.97,100.88,113.55,84.94,112.33,113.62,139.36,65.69,48.68,102.42,87.66,97.75,96.16,192.08,209.28,275.57,161.81,144.47,56.79,134.49,93.78,53.45,81.71,60.14,67.07
"RXRA",6855.94,6732.12,6194.12,6109.37,6791.48,6814.87,7093.71,6395.74,6539.3,8022.75,7433.99,6969.45,2087.53,1902.11,1750.04,2051.31,2530.58,2165.33,2028.29,2464.25,2003.85,1888.44,2238.79,2475.52,1287.45,1948.55,2150.31,2037.68,1748.02,1519.3,1537.07,1926.43,1062.32,1023.02,1034.19,1042.44
"Rab7b",1.99,2.01,1.92,1.8,2.22,2.08,1.87,1.87,2.24,2.29,2.39,2.42,10.22,25.87,21.31,38.35,16.08,37.98,17.14,4.21,36.54,27.52,38.56,19.81,53.43,51.91,33.72,23.62,30.33,37.1,42.51,33.72,11.23,20.35,28.08,20.8
"Rac1",2225.71,2134.35,2232.05,2190.69,2241.88,2235.13,2257.02,2134.08,2595.69,2383.76,2338.25,2032.5,4668.57,4472.16,3942.36,4541.03,4527.16,3933.62,3999.63,5318.92,5088.11,4852.06,4846.88,5581.77,3546.54,4684.04,4221.21,4635.32,4202.88,3962.48,4058.68,4379.96,4519.1,3432.69,3842.28,4090.98
"Rac2",1.99,2.01,5.07,21.84,18.18,2.08,7,1.87,2.24,2.29,2.39,2.42,25.33,36.94,70.06,21.91,18.03,11.79,6.45,24.22,29.44,20.23,54.28,8.31,312.33,21.12,32.83,32.03,18.44,162.66,25.09,67.43,12.3,13.01,69.08,38.37
"Rac3",6.15,2.01,1.92,1.8,2.22,2.08,10.74,1.87,15.11,2.29,2.39,2.42,12.23,14.81,5.61,15.52,21.94,33.75,31.7,19.77,16.26,14.76,22.83,24,35.69,66.28,92.84,41.36,36.67,66.97,84.96,71.72,60.93,69.12,68.03,56.53
"Rap1b",2281.45,2084.18,2024.54,2034.23,1988.63,1965,2000.78,2149.05,2385.31,2564.92,2235.58,2385.48,2244.69,2892.16,2921.81,2959.15,2051.68,2623.24,1623.34,1997.37,2719.42,2966.53,3143.29,2084.37,4087.99,3681.67,3059.46,3216.05,2730.92,2931.59,2525.47,2161.17,2917.08,2855.31,3168.38,3275.54
